,Unnamed: 0,price,score,reviews,guest,bedroom,bed,bath,amentity_wifi,amentity_dryer,amentity_essentials,amentity_hangers,amentity_hair_dryer,amentity_washer,amentity_iron,amentity_air_conditioning,score_cleanliness,score_accuracy,score_communication,score_location,score_check_in,score_value,is_host_verified,is_superhost,no_pets,can_parties,can_smoking,service_fee,amentity_elevator,amentity_kitchen,amentity_cable_tv,amentity_tv,host_reviews,host_response_rate,host_response_time,amentity_laptop-friendly_workspace,amentity_first_aid_kit,amentity_indoor_fireplace,amentity_heating,amentity_carbon_monoxide_alarm,amentity_free_parking_on_premises,amentity_breakfast,amentity_hot_tub,cleaning_fee,amentity_fire_extinguisher,amentity_gym,amentity_pool,amentity_smoke_alarm,amentity_free_street_parking,amentity_private_entrance,amentity_room-darkening_shades,amentity_building_staff,amentity_paid_parking_off_premises,amentity_high_chair,amentity_bathtub,shared_bath,private_bath,amentity_private_living_room,amentity_lock_on_bedroom_door,is_dong_nai,is_binh_duong,is_ngoai_tinh,is_phu_nhuan,is_tan_phu,is_binh_tan,is_quan_4,is_can_gio,is_nha_be,is_quan_5,is_go_vap,is_binh_chanh,is_quan_12,is_tan_binh,is_quan_3,is_quan_7,is_hoc_mon,is_quan_9,is_quan_8,is_quan_6,is_quan_2,is_quan_10,is_quan_1,is_quan_11,is_cu_chi,is_thu_duc,is_binh_thanh,is_entire_home,is_private_room,is_hotel_room,is_shared_room
1337,1337,40,0,0,6,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,0,1,1,0,200,72,1,0,0,1,1,0,1,0,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1338,1338,39,4.85,34,2,1,1,1,1,0,1,1,0,0,0,0,4.8,4.8,5,4.8,5,4.7,1,0,0,1,1,8,0,1,0,1,129,100,1,0,0,1,1,0,0,0,1,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1339,1339,40,4.84,32,2,0,1,1,1,0,1,0,0,0,0,0,4.8,4.9,4.8,4.9,4.8,4.8,1,0,0,1,1,8,1,1,0,0,243,78,2,0,0,1,1,0,1,0,1,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1340,1340,40,5,3,2,1,1,1,1,1,1,0,0,0,0,0,4.7,4.3,5,5,5,4.7,0,0,0,1,1,6,1,1,0,1,3,100,1,0,0,1,0,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1341,1341,40,4.67,9,2,1,1,1,1,0,1,0,1,0,0,0,4.6,4.2,4.8,4.3,4.7,4.6,1,0,0,1,1,6,1,1,0,1,45,60,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1342,1342,40,4.63,8,2,1,1,1,1,1,1,1,0,0,0,0,4.4,4.9,4.8,4.9,5,4.8,1,0,0,0,1,6,1,1,0,1,133,100,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1343,1343,39,4.88,16,6,2,3,2,1,1,1,0,0,0,0,0,4.9,5,4.9,4.9,5,4.9,0,1,0,0,1,7,1,1,1,1,49,100,1,0,0,0,0,0,0,0,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1344,1344,39,4.71,14,2,1,1,1,1,0,1,1,1,0,0,0,4.4,4.9,4.9,4.7,4.9,4.6,1,0,0,1,1,6,1,1,0,1,93,100,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1345,1345,39,4.6,30,5,2,2,2,1,0,1,1,1,0,0,0,4.6,4.7,4.6,4.6,4.6,4.7,1,0,1,1,1,6,1,1,0,1,63,100,1,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1346,1346,40,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,1,0,0,2,30,0,0,0,1,1,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1347,1347,39,0,0,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,1,0,100,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1348,1348,41,0,2,3,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,1,1,1,138,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1349,1349,40,0,0,4,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,1,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1350,1350,40,4.92,26,2,0,1,1,1,0,1,1,1,1,0,0,4.9,4.9,4.9,4.8,4.9,5,1,0,0,0,1,6,0,1,0,1,95,100,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1351,1351,40,4.71,7,3,0,1,1,1,0,1,0,0,0,0,0,4.7,5,4.6,4.7,4.7,4.7,0,1,1,1,1,7,1,1,1,0,126,100,1,0,0,1,0,0,1,1,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1352,1352,39,4.8,20,5,2,2,2,1,0,1,1,1,1,0,0,4.8,4.8,5,4.8,4.8,4.8,1,0,1,1,1,6,1,1,0,1,63,100,1,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
